station	d_lat	d_lon	gpsweek	date
SRLP	-0.000	-0.018	1640	2011-06-15
SRLP	0.000	-0.016	1641	2011-06-22
SRLP	-0.000	-0.017	1642	2011-06-29
SRLP	-0.001	-0.016	1643	2011-07-06
SRLP	-0.001	-0.017	1644	2011-07-13
SRLP	-0.001	-0.015	1645	2011-07-20
SRLP	-0.001	-0.016	1646	2011-07-27
SRLP	-0.003	-0.015	1647	2011-08-03
SRLP	-0.002	-0.016	1648	2011-08-10
SRLP	-0.003	-0.016	1649	2011-08-17
SRLP	-0.002	-0.016	1650	2011-08-24
SRLP	-0.002	-0.015	1651	2011-08-31
SRLP	-0.002	-0.016	1652	2011-09-07
SRLP	-0.002	-0.015	1653	2011-09-14
SRLP	-0.002	-0.015	1654	2011-09-21
SRLP	-0.002	-0.015	1655	2011-09-28
SRLP	0.001	-0.016	1656	2011-10-05
SRLP	0.001	-0.016	1657	2011-10-12
SRLP	-0.002	-0.016	1658	2011-10-19
SRLP	-0.000	-0.016	1659	2011-10-26
SRLP	0.000	-0.018	1660	2011-11-02
SRLP	0.001	-0.020	1661	2011-11-09
SRLP	0.000	-0.019	1662	2011-11-16
SRLP	0.001	-0.018	1663	2011-11-23
SRLP	0.002	-0.018	1664	2011-11-30
SRLP	0.004	-0.018	1665	2011-12-07
SRLP	0.003	-0.018	1666	2011-12-14
SRLP	0.002	-0.019	1667	2011-12-21
SRLP	0.002	-0.017	1668	2011-12-28
SRLP	0.003	-0.021	1670	2012-01-11
SRLP	0.005	-0.021	1671	2012-01-18
SRLP	0.002	-0.022	1672	2012-01-25
SRLP	0.002	-0.021	1673	2012-02-01
SRLP	0.003	-0.021	1674	2012-02-08
SRLP	0.002	-0.020	1675	2012-02-15
SRLP	0.001	-0.020	1676	2012-02-22
SRLP	0.005	-0.020	1677	2012-02-29
SRLP	0.002	-0.020	1678	2012-03-07
SRLP	0.003	-0.017	1679	2012-03-14
SRLP	0.001	-0.017	1680	2012-03-21
SRLP	0.001	-0.016	1681	2012-03-28
SRLP	-0.001	-0.018	1682	2012-04-04
SRLP	0.001	-0.016	1683	2012-04-11
SRLP	-0.000	-0.018	1684	2012-04-18
SRLP	0.001	-0.016	1685	2012-04-25
SRLP	0.000	-0.017	1686	2012-05-02
SRLP	-0.001	-0.017	1687	2012-05-09
SRLP	-0.001	-0.018	1688	2012-05-16
SRLP	-0.001	-0.019	1689	2012-05-23
SRLP	-0.001	-0.020	1690	2012-05-30
SRLP	-0.002	-0.019	1691	2012-06-06
SRLP	-0.002	-0.019	1692	2012-06-13
SRLP	-0.002	-0.019	1693	2012-06-20
SRLP	-0.003	-0.018	1694	2012-06-27
SRLP	-0.004	-0.018	1695	2012-07-04
SRLP	-0.003	-0.017	1696	2012-07-11
